,國文,英文,數學,社會,自然
0,15,14,14,6,15
1,10,12,13,7,15
2,12,10,15,13,8
3,9,12,10,6,14
4,9,12,7,11,12
5,12,11,15,14,14
6,13,13,7,7,14
7,15,13,14,9,11
8,13,6,11,14,8
9,14,7,7,6,6
10,13,9,15,13,12
11,11,15,13,13,7
12,14,11,9,7,7
13,14,13,11,7,9
14,14,15,15,14,12
15,15,13,7,6,7
16,15,6,6,11,7
17,9,10,12,15,7
18,13,11,6,7,12
19,7,9,10,9,12
20,10,8,6,13,10
21,11,13,7,7,15
22,11,11,12,13,8
23,6,15,14,14,14
24,8,12,14,13,12
25,7,9,14,9,12
26,14,10,7,6,15
27,13,10,7,14,11
28,8,8,6,11,13
29,13,15,15,14,12
30,10,6,15,6,15
31,12,10,13,6,9
32,15,13,12,14,6
33,12,9,6,12,12
34,13,11,10,12,15
35,12,15,9,12,14
36,7,11,6,14,8
37,7,8,13,12,6
38,10,11,14,15,9
39,6,12,11,11,13
40,13,10,12,11,9
41,8,11,13,6,6
42,13,11,13,13,9
43,14,11,13,15,10
44,7,10,14,8,6
45,12,11,6,13,8
46,9,12,8,11,10
47,12,7,10,15,7
48,8,15,8,14,15
49,15,10,11,15,9
50,11,12,14,6,11
51,13,10,10,7,9
52,15,6,8,9,6
53,7,8,14,13,6
54,11,13,8,13,15
55,10,8,11,11,9
56,10,8,8,6,11
57,13,9,13,13,12
58,7,13,12,12,7
59,6,6,6,11,7
60,9,6,10,12,10
61,10,15,14,6,14
62,8,14,12,8,15
63,14,8,8,8,7
64,9,13,10,6,14
65,15,12,11,6,8
66,15,9,13,14,6
67,12,8,8,9,9
68,12,12,15,15,12
69,15,10,8,15,6
70,13,7,10,6,6
71,6,9,15,6,9
72,11,15,14,15,9
73,12,8,13,9,8
74,8,8,12,6,13
75,6,12,6,8,14
76,8,15,12,7,15
77,10,13,14,8,12
78,10,13,13,10,13
79,10,15,12,15,8
80,11,13,9,12,12
81,10,7,9,10,6
82,12,14,13,9,7
83,6,7,14,11,8
84,12,13,12,15,6
85,11,12,10,14,6
86,7,9,9,6,11
87,7,11,14,10,8
88,15,12,9,10,7
89,14,15,13,13,11
90,15,6,15,15,9
91,14,9,10,13,10
92,6,11,11,11,9
93,9,12,7,12,6
94,7,12,10,11,12
95,12,10,12,11,8
96,7,13,10,12,13
97,10,9,9,7,10
98,9,7,9,8,8
99,8,11,9,12,10
